Marie
Sophie
Maria
Emilia
Charlotte
Anna
Sophia
Emma
Johanna
Lina
Mia
Elisabeth
Katharina
Sofia
Klara
Luise
Luisa
Greta
Laura
Lena
Mila
Elisa
Marlene
Louisa
Leni
Lara
Ida
Lea
Hannah
Julia
Leonie
Helena
Emily
Ella
Victoria
Mathilda
Mira
Hanna
Lia
Amelie
Frieda
Pauline
Paulina
Paula
Antonia
Viktoria
Maya
Josephine
Isabella
Lisa
Theresa
Sarah
Matilda
Lotta
Ava
Amira
Sara
Nora
Luna
Elena
Alexandra
Valentina
Klara
Josefine
Helene
Alina
Romy
Frida
Eva
Stella
Nele
Jana
Elina
Amina
Thea
Olivia
Melina
Martha
Diana
Lucia
Lilly
Isabelle
Franziska
Elise
Louise
Amalia
Alessia
Rosa
Pia
Anastasia
Amelia
Rose
Mina
Lucy
Linda
Rebecca
Theresa
Nicole
Claudia
Milena
